Timestamp,¿Qué actividades deportivas te gusta practicar?,¿Cuáles son tus actividades culturales favoritas?,¿Qué tipo de comida te gusta?,"Además, en tu tiempo de ocio te gusta..."
10/23/2021 10:41:18,Trecking,"Rural tourism, Concerts, Guided visits","Mediterranean, Indian","Sunsets, Coffee"
10/23/2021 10:55:56,Fitness,"Rural tourism, Concerts, Theaters","Indian, Mediterranean, Sushi",Coffee
10/23/2021 11:00:31,Trecking,"Guided visits, Concerts, Theaters, Rural tourism","Mediterranean, Chinese, Italian, Sushi, Burgers",Sunsets
10/23/2021 11:03:48,"Fitness, Running","Guided visits, Concerts","Mediterranean, Italian",Sunsets
10/23/2021 11:06:44,"Trecking, Running, Fitness","Concerts, Rural tourism, Movies","Mediterranean, Sushi, Burgers, Italian","Drinks at night, Parties"
10/23/2021 11:08:03,Paddle,"Rural tourism, Concerts","Italian, Mediterranean, Burgers","Sunsets, Drinks at night, Parties"
10/23/2021 11:17:34,"Voley, Surf, Paddle","Guided visits, Museums, Rural tourism, Movies, Theaters","Burgers, Indian, Italian, Sushi, Mediterranean, Chinese","Coffee, Parties"
10/23/2021 11:49:30,Trecking,"Parks, Rural tourism",Mediterranean,"Sunsets, Parties"
10/23/2021 12:03:32,"Fitness, Running","Guided visits, Museums, Theaters, Concerts, Rural tourism","Italian, Mediterranean, Sushi, Indian","Coffee, Parties"
10/23/2021 12:18:15,"Fitness, Trecking","Guided visits, Parks, Movies, Rural tourism","Italian, Mediterranean","Drinks at night, Coffee, Sunsets"
10/23/2021 12:38:21,Running,"Theaters, Movies","Sushi, Italian, Mediterranean, Burgers, Chinese, Indian",Coffee
10/23/2021 12:39:57,Trecking,"Rural tourism, Museums, Theaters, Movies","Chinese, Mediterranean, Burgers, Italian","Coffee, Sunsets"
10/23/2021 12:40:18,"Paddle, Football","Theaters, Movies, Bookstores, Concerts","Mediterranean, Italian","Parties, Coffee"
10/23/2021 12:53:28,Fitness,"Theaters, Movies, Bookstores","Burgers, Chinese, Mediterranean, Italian","Parties, Coffee"
10/23/2021 13:00:41,Fitness,"Guided visits, Movies, Theaters","Italian, Mediterranean","Sunsets, Coffee"
10/23/2021 14:03:13,"Running, Paddle","Theaters, Museums","Mediterranean, Italian",Coffee
10/23/2021 14:05:28,Fitness,Theaters,Mediterranean,Coffee
10/23/2021 14:10:15,"Football, Voley, Running, Paddle","Rural tourism, Museums",Mediterranean,Drinks at night
10/23/2021 14:12:19,Running,"Museums, Rural tourism","Indian, Mediterranean, Chinese, Italian, Sushi","Parties, Drinks at night, Coffee"
10/23/2021 14:14:37,"Paddle, Fitness","Theaters, Guided visits, Rural tourism",Mediterranean,"Parties, Drinks at night, Coffee"
10/23/2021 14:21:06,Running,"Guided visits, Rural tourism","Mediterranean, Burgers, Italian",Sunsets
10/23/2021 14:45:20,Fitness,"Movies, Bookstores","Mediterranean, Italian","Coffee, Sunsets"
10/23/2021 14:46:39,Trecking,"Rural tourism, Movies, Theaters, Museums, Concerts","Mediterranean, Italian","Coffee, Parties"
10/23/2021 14:46:45,"Paddle, Fitness","Rural tourism, Museums","Italian, Mediterranean",Parties
10/23/2021 14:54:00,Trecking,Movies,Mediterranean,Coffee
10/23/2021 15:16:36,"Fitness, Running","Theaters, Movies, Concerts, Rural tourism, Guided visits, Museums",Mediterranean,"Coffee, Parties"
10/23/2021 15:17:11,"Fitness, Voley","Rural tourism, Parks, Guided visits",Mediterranean,"Parties, Sunsets"
10/23/2021 15:17:36,"Climbing, Trecking",Movies,"Burgers, Sushi",Drinks at night
10/23/2021 15:17:56,"Fitness, Surf","Theaters, Movies","Indian, Sushi",Parties
10/23/2021 15:17:58,Fitness,"Parks, Bookstores","Chinese, Mediterranean","Coffee, Parties, Sunsets"
10/23/2021 15:18:16,"Football, Voley","Concerts, Movies","Mediterranean, Burgers","Coffee, Sunsets"
10/23/2021 18:19:16,Fitness,"Concerts, Movies, Theaters, Museums","Indian, Mediterranean, Italian","Drinks at night, Sunsets"
10/23/2021 18:49:03,Fitness,"Concerts, Rural tourism, Museums","Mediterranean, Italian",Drinks at night
10/23/2021 18:59:19,Fitness,"Museums, Movies","Italian, Indian, Chinese, Burgers, Mediterranean",Coffee
10/23/2021 20:18:32,Trecking,"Guided visits, Movies, Parks, Rural tourism","Italian, Burgers, Mediterranean",Parties
10/23/2021 20:58:50,Trecking,"Museums, Bookstores, Rural tourism","Mediterranean, Italian",Coffee
10/23/2021 21:26:12,Football,Concerts,Burgers,Drinks at night
10/23/2021 21:44:05,"Fitness, Paddle","Concerts, Guided visits, Rural tourism","Mediterranean, Italian",Coffee
10/23/2021 21:55:34,Paddle,"Concerts, Theaters, Movies, Guided visits, Parks, Rural tourism","Italian, Mediterranean","Coffee, Sunsets"
10/23/2021 22:00:26,"Trecking, Football",Museums,Sushi,Parties
10/23/2021 22:00:48,Paddle,"Guided visits, Concerts","Indian, Sushi","Coffee, Parties"
10/23/2021 22:01:08,Climbing,Rural tourism,Indian,Coffee
10/23/2021 22:01:36,"Voley, Climbing","Guided visits, Concerts","Burgers, Mediterranean","Drinks at night, Parties"
10/23/2021 22:05:09,Trecking,"Guided visits, Rural tourism",Mediterranean,Parties
10/24/2021 0:03:49,Trecking,"Guided visits, Museums, Rural tourism, Movies, Theaters","Italian, Mediterranean","Coffee, Sunsets"
10/24/2021 9:16:45,Fitness,"Museums, Concerts, Theaters",Mediterranean,Parties
